.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,.,.,#,#,.,.,.,.
.,#,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,#,#,.,.,#,.,#,.,.,.,.
.,#,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.
.,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,#,#,.,.,.,.,.,.,#,.,#,#,.,.,.,.
.,#,.,.,.,#,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,#,.,.,.,.,.,.,.,.,.
.,.,#,#,#,.,.,.,#,.,.,.,.,.,.,.,#,.,#,#,.,#,.,.,.,.,#,.,.,.,.,#,.,.,.,.,#,.,#
.,.,.,#,.,.,#,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,#,.,.,.,.,.
#,.,.,#,#,.,.,.,.,#,#,#,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,#,.,.,#,.,.,.,#,.,#
.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.
#,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.
.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,#,#,#,.,#,#,#,.,#,.,.,.,.,.,#,#,#,.,#,.,#,.,.,.
#,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,.,.,.,#,#,.,#,.,.
.,#,#,.,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,#,.,.,#,.,#,.,.,#,#,.,.,.,.,.,.,.,#,.
.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,#,.,#,#,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.
#,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,#,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,#,.,.,#,#,.,#,.,#,.,#,.,.,#,.,.,.,.,#,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,#,.,#,.,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.
